DateTime_UTC	DateTime_TZ	Vertical_Acceleration	Vertical_Displacement
2024-08-01 00:00:00+00:00	2024-07-31 21:00:00-03:00	3.717800E+02	-7.261280E+01
2024-08-01 01:00:00+00:00	2024-07-31 22:00:00-03:00	3.779850E+01	-7.236910E+00
2024-08-01 02:00:00+00:00	2024-07-31 23:00:00-03:00	-3.551370E+02	6.949360E+01
2024-08-01 03:00:00+00:00	2024-08-01 00:00:00-03:00	-7.480800E+02	1.461890E+02
2024-08-01 04:00:00+00:00	2024-08-01 01:00:00-03:00	-1.073750E+03	2.098780E+02
2024-08-01 05:00:00+00:00	2024-08-01 02:00:00-03:00	-1.271880E+03	2.488870E+02
2024-08-01 06:00:00+00:00	2024-08-01 03:00:00-03:00	-1.303500E+03	2.555560E+02
2024-08-01 07:00:00+00:00	2024-08-01 04:00:00-03:00	-1.160440E+03	2.280840E+02
2024-08-01 08:00:00+00:00	2024-08-01 05:00:00-03:00	-8.674940E+02	1.710400E+02
2024-08-01 09:00:00+00:00	2024-08-01 06:00:00-03:00	-4.767590E+02	9.438930E+01
2024-08-01 10:00:00+00:00	2024-08-01 07:00:00-03:00	-5.563590E+01	1.126850E+01
2024-08-01 11:00:00+00:00	2024-08-01 08:00:00-03:00	3.283140E+02	-6.493560E+01
2024-08-01 12:00:00+00:00	2024-08-01 09:00:00-03:00	6.219250E+02	-1.234950E+02
2024-08-01 13:00:00+00:00	2024-08-01 10:00:00-03:00	7.969010E+02	-1.585280E+02
2024-08-01 14:00:00+00:00	2024-08-01 11:00:00-03:00	8.538980E+02	-1.699410E+02
2024-08-01 15:00:00+00:00	2024-08-01 12:00:00-03:00	8.195110E+02	-1.629350E+02
2024-08-01 16:00:00+00:00	2024-08-01 13:00:00-03:00	7.371800E+02	-1.462060E+02
2024-08-01 17:00:00+00:00	2024-08-01 14:00:00-03:00	6.543580E+02	-1.293370E+02
2024-08-01 18:00:00+00:00	2024-08-01 15:00:00-03:00	6.091500E+02	-1.200370E+02
2024-08-01 19:00:00+00:00	2024-08-01 16:00:00-03:00	6.196460E+02	-1.219490E+02
2024-08-01 20:00:00+00:00	2024-08-01 17:00:00-03:00	6.786510E+02	-1.335880E+02
2024-08-01 21:00:00+00:00	2024-08-01 18:00:00-03:00	7.552390E+02	-1.487180E+02
2024-08-01 22:00:00+00:00	2024-08-01 19:00:00-03:00	8.030090E+02	-1.580780E+02
2024-08-01 23:00:00+00:00	2024-08-01 20:00:00-03:00	7.732010E+02	-1.520550E+02
2024-08-02 00:00:00+00:00	2024-08-01 21:00:00-03:00	6.294660E+02	-1.235950E+02
2024-08-02 01:00:00+00:00	2024-08-01 22:00:00-03:00	3.603900E+02	-7.060810E+01
2024-08-02 02:00:00+00:00	2024-08-01 23:00:00-03:00	-1.383380E+01	2.826590E+00
2024-08-02 03:00:00+00:00	2024-08-02 00:00:00-03:00	-4.428240E+02	8.682280E+01
2024-08-02 04:00:00+00:00	2024-08-02 01:00:00-03:00	-8.556780E+02	1.675920E+02
2024-08-02 05:00:00+00:00	2024-08-02 02:00:00-03:00	-1.176720E+03	2.304630E+02
2024-08-02 06:00:00+00:00	2024-08-02 03:00:00-03:00	-1.343330E+03	2.632730E+02
2024-08-02 07:00:00+00:00	2024-08-02 04:00:00-03:00	-1.321210E+03	2.592750E+02
2024-08-02 08:00:00+00:00	2024-08-02 05:00:00-03:00	-1.112960E+03	2.188030E+02
2024-08-02 09:00:00+00:00	2024-08-02 06:00:00-03:00	-7.576120E+02	1.492780E+02
2024-08-02 10:00:00+00:00	2024-08-02 07:00:00-03:00	-3.214690E+02	6.351310E+01
2024-08-02 11:00:00+00:00	2024-08-02 08:00:00-03:00	1.175510E+02	-2.323240E+01
2024-08-02 12:00:00+00:00	2024-08-02 09:00:00-03:00	4.877710E+02	-9.672980E+01
2024-08-02 13:00:00+00:00	2024-08-02 10:00:00-03:00	7.394020E+02	-1.469140E+02
2024-08-02 14:00:00+00:00	2024-08-02 11:00:00-03:00	8.541800E+02	-1.699050E+02
2024-08-02 15:00:00+00:00	2024-08-02 12:00:00-03:00	8.468830E+02	-1.684460E+02
2024-08-02 16:00:00+00:00	2024-08-02 13:00:00-03:00	7.587100E+02	-1.506710E+02
