DateTime_UTC	DateTime_TZ	Vertical_Acceleration	Vertical_Displacement
2024-08-01 00:00:00+00:00	2024-07-31 21:00:00-03:00	3.854990E+02	-7.531260E+01
2024-08-01 01:00:00+00:00	2024-07-31 22:00:00-03:00	5.246380E+01	-1.010740E+01
2024-08-01 02:00:00+00:00	2024-07-31 23:00:00-03:00	-3.434300E+02	6.720880E+01
2024-08-01 03:00:00+00:00	2024-08-01 00:00:00-03:00	-7.427840E+02	1.451570E+02
2024-08-01 04:00:00+00:00	2024-08-01 01:00:00-03:00	-1.077040E+03	2.105180E+02
2024-08-01 05:00:00+00:00	2024-08-01 02:00:00-03:00	-1.284130E+03	2.512770E+02
2024-08-01 06:00:00+00:00	2024-08-01 03:00:00-03:00	-1.323220E+03	2.594130E+02
2024-08-01 07:00:00+00:00	2024-08-01 04:00:00-03:00	-1.184660E+03	2.328380E+02
2024-08-01 08:00:00+00:00	2024-08-01 05:00:00-03:00	-8.925310E+02	1.759720E+02
2024-08-01 09:00:00+00:00	2024-08-01 06:00:00-03:00	-4.990940E+02	9.880560E+01
2024-08-01 10:00:00+00:00	2024-08-01 07:00:00-03:00	-7.276290E+01	1.466410E+01
2024-08-01 11:00:00+00:00	2024-08-01 08:00:00-03:00	3.173520E+02	-6.276470E+01
2024-08-01 12:00:00+00:00	2024-08-01 09:00:00-03:00	6.164100E+02	-1.224190E+02
2024-08-01 13:00:00+00:00	2024-08-01 10:00:00-03:00	7.947330E+02	-1.581330E+02
2024-08-01 14:00:00+00:00	2024-08-01 11:00:00-03:00	8.522330E+02	-1.696590E+02
2024-08-01 15:00:00+00:00	2024-08-01 12:00:00-03:00	8.155670E+02	-1.622010E+02
2024-08-01 16:00:00+00:00	2024-08-01 13:00:00-03:00	7.290080E+02	-1.446230E+02
2024-08-01 17:00:00+00:00	2024-08-01 14:00:00-03:00	6.414100E+02	-1.267920E+02
2024-08-01 18:00:00+00:00	2024-08-01 15:00:00-03:00	5.924720E+02	-1.167430E+02
2024-08-01 19:00:00+00:00	2024-08-01 16:00:00-03:00	6.016760E+02	-1.183990E+02
2024-08-01 20:00:00+00:00	2024-08-01 17:00:00-03:00	6.626340E+02	-1.304360E+02
2024-08-01 21:00:00+00:00	2024-08-01 18:00:00-03:00	7.444020E+02	-1.466040E+02
2024-08-01 22:00:00+00:00	2024-08-01 19:00:00-03:00	7.996850E+02	-1.574580E+02
2024-08-01 23:00:00+00:00	2024-08-01 20:00:00-03:00	7.781270E+02	-1.530610E+02
2024-08-02 00:00:00+00:00	2024-08-01 21:00:00-03:00	6.414460E+02	-1.259780E+02
2024-08-02 01:00:00+00:00	2024-08-01 22:00:00-03:00	3.764400E+02	-7.377420E+01
2024-08-02 02:00:00+00:00	2024-08-01 23:00:00-03:00	2.130270E+00	-3.056300E-01
