DateTime_UTC	DateTime_TZ	Vertical_Acceleration	Vertical_Displacement
2024-08-01 00:00:00+00:00	2024-07-31 21:00:00-03:00	8.113930E+01	-1.571530E+01
2024-08-01 01:00:00+00:00	2024-07-31 22:00:00-03:00	-3.197910E+02	6.259180E+01
2024-08-01 02:00:00+00:00	2024-07-31 23:00:00-03:00	-7.315060E+02	1.429450E+02
2024-08-01 03:00:00+00:00	2024-08-01 00:00:00-03:00	-1.082960E+03	2.116510E+02
2024-08-01 04:00:00+00:00	2024-08-01 01:00:00-03:00	-1.308430E+03	2.560000E+02
2024-08-01 05:00:00+00:00	2024-08-01 02:00:00-03:00	-1.363220E+03	2.672280E+02
2024-08-01 06:00:00+00:00	2024-08-01 03:00:00-03:00	-1.234530E+03	2.426270E+02
2024-08-01 07:00:00+00:00	2024-08-01 04:00:00-03:00	-9.447830E+02	1.862790E+02
2024-08-01 08:00:00+00:00	2024-08-01 05:00:00-03:00	-5.464570E+02	1.081880E+02
2024-08-01 09:00:00+00:00	2024-08-01 06:00:00-03:00	-1.098930E+02	2.204000E+01
2024-08-01 10:00:00+00:00	2024-08-01 07:00:00-03:00	2.926820E+02	-5.787080E+01
2024-08-01 11:00:00+00:00	2024-08-01 08:00:00-03:00	6.029560E+02	-1.197870E+02
2024-08-01 12:00:00+00:00	2024-08-01 09:00:00-03:00	7.883060E+02	-1.569400E+02
2024-08-01 13:00:00+00:00	2024-08-01 10:00:00-03:00	8.469490E+02	-1.687210E+02
2024-08-01 14:00:00+00:00	2024-08-01 11:00:00-03:00	8.055060E+02	-1.603160E+02
2024-08-01 15:00:00+00:00	2024-08-01 12:00:00-03:00	7.098700E+02	-1.409130E+02
2024-08-01 16:00:00+00:00	2024-08-01 13:00:00-03:00	6.117590E+02	-1.209630E+02
2024-08-01 17:00:00+00:00	2024-08-01 14:00:00-03:00	5.542750E+02	-1.091960E+02
2024-08-01 18:00:00+00:00	2024-08-01 15:00:00-03:00	5.599630E+02	-1.101530E+02
2024-08-01 19:00:00+00:00	2024-08-01 16:00:00-03:00	6.243420E+02	-1.228870E+02
2024-08-01 20:00:00+00:00	2024-08-01 17:00:00-03:00	7.166370E+02	-1.411660E+02
2024-08-01 21:00:00+00:00	2024-08-01 18:00:00-03:00	7.878170E+02	-1.551810E+02
2024-08-01 22:00:00+00:00	2024-08-01 19:00:00-03:00	7.841970E+02	-1.543200E+02
2024-08-01 23:00:00+00:00	2024-08-01 20:00:00-03:00	6.633280E+02	-1.303300E+02
2024-08-02 00:00:00+00:00	2024-08-01 21:00:00-03:00	4.080330E+02	-8.000310E+01
2024-08-02 01:00:00+00:00	2024-08-01 22:00:00-03:00	3.460090E+01	-6.680050E+00
2024-08-02 02:00:00+00:00	2024-08-01 23:00:00-03:00	-4.075280E+02	7.991460E+01
2024-08-02 03:00:00+00:00	2024-08-02 00:00:00-03:00	-8.450610E+02	1.655180E+02
2024-08-02 04:00:00+00:00	2024-08-02 01:00:00-03:00	-1.197110E+03	2.344530E+02
2024-08-02 05:00:00+00:00	2024-08-02 02:00:00-03:00	-1.394330E+03	2.732580E+02
2024-08-02 06:00:00+00:00	2024-08-02 03:00:00-03:00	-1.395840E+03	2.739130E+02
2024-08-02 07:00:00+00:00	2024-08-02 04:00:00-03:00	-1.199480E+03	2.358210E+02
2024-08-02 08:00:00+00:00	2024-08-02 05:00:00-03:00	-8.425320E+02	1.660340E+02
2024-08-02 09:00:00+00:00	2024-08-02 06:00:00-03:00	-3.928790E+02	7.764690E+01
2024-08-02 10:00:00+00:00	2024-08-02 07:00:00-03:00	6.713960E+01	-1.323590E+01
2024-08-02 11:00:00+00:00	2024-08-02 08:00:00-03:00	4.598170E+02	-9.120390E+01
2024-08-02 12:00:00+00:00	2024-08-02 09:00:00-03:00	7.293180E+02	-1.449820E+02
2024-08-02 13:00:00+00:00	2024-08-02 10:00:00-03:00	8.528600E+02	-1.697660E+02
2024-08-02 14:00:00+00:00	2024-08-02 11:00:00-03:00	8.433430E+02	-1.678940E+02
2024-08-02 15:00:00+00:00	2024-08-02 12:00:00-03:00	7.431460E+02	-1.477200E+02
2024-08-02 16:00:00+00:00	2024-08-02 13:00:00-03:00	6.109540E+02	-1.210050E+02
2024-08-02 17:00:00+00:00	2024-08-02 14:00:00-03:00	5.050720E+02	-9.953060E+01
2024-08-02 18:00:00+00:00	2024-08-02 15:00:00-03:00	4.673910E+02	-9.178460E+01
2024-08-02 19:00:00+00:00	2024-08-02 16:00:00-03:00	5.119560E+02	-1.006000E+02
2024-08-02 20:00:00+00:00	2024-08-02 17:00:00-03:00	6.209350E+02	-1.223420E+02
2024-08-02 21:00:00+00:00	2024-08-02 18:00:00-03:00	7.491220E+02	-1.478770E+02
